Metabolite Name,increased or decreased,Organ,Sex,Age,Species,InChIKey,Keggs,Lipid Maps,Pubchem CID,Standardized Name,Formula,Exact mass,Subclass,HMDB,DOI,Title
PA(18:1/0:0),decreased,serum,,100,Humans,WRGQSWVCFNIUNZ-GDCKJWNLSA-N,No result,LMGP10050008,71627246,LPA 18:1/0:0*,,,LPA,HMDB0007855,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PA(18:2/0:0),decreased,serum,,100,Humans,ZQTAMPRZFOOEEP-KKFOGOCZSA-L,No result,No result,71627246,LPA 18:2/0:0,C21H39O7P,434.2433,LPA,No result,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
carbon dioxide,increased,urine,,100,Humans,CURLTUGMZLYLDI-UHFFFAOYSA-N,C00011,No result,280,-,,,,HMDB0001967,https://doi.org/10.1007/s11357-019-00143-6,The smell of longevity: a combination of Volatile Organic Compounds (VOCs) can discriminate centenarians and their offspring from age-matched subjects and young controls
"benzaldehyde 2,3,6-thrichloro",increased,urine,,100,Humans,AURSMWWOMOVHBM-UHFFFAOYSA-N,No result,No result,20781,-,,,,No result,https://doi.org/10.1007/s11357-019-00143-6,The smell of longevity: a combination of Volatile Organic Compounds (VOCs) can discriminate centenarians and their offspring from age-matched subjects and young controls
acetone,increased,urine,,100,Humans,CSCPPACGZOOCGX-UHFFFAOYSA-N,C00207,LMFA12000057,180,Acetone,C3H6O,58.0419,Ketones,HMDB0001659,https://doi.org/10.1007/s11357-019-00143-6,The smell of longevity: a combination of Volatile Organic Compounds (VOCs) can discriminate centenarians and their offspring from age-matched subjects and young controls
trichloromethane,increased,urine,,100,Humans,HEDRZPFGACZZDS-UHFFFAOYSA-N,C13827,No result,6212,Chloroform,CHCl3,117.9144,Trihalomethanes,HMDB0029596,https://doi.org/10.1007/s11357-019-00143-6,The smell of longevity: a combination of Volatile Organic Compounds (VOCs) can discriminate centenarians and their offspring from age-matched subjects and young controls
benzaldehyde,increased,urine,,100,Humans,HUMNYLRZRPPJDN-UHFFFAOYSA-N,C00193,No result,240,Benzaldehyde,C7H6O,106.0419,Benzoyl derivatives,HMDB0006115,https://doi.org/10.1007/s11357-019-00143-6,The smell of longevity: a combination of Volatile Organic Compounds (VOCs) can discriminate centenarians and their offspring from age-matched subjects and young controls
lead,increased,blood,,100,Humans,WABPQHHGFIMREM-UHFFFAOYSA-N,C06696,No result,5352425,lead,-,,,No result,https://doi.org/10.1016/j.envint.2021.106717,"Human biomonitoring of toxic and essential metals in younger elderly, octogenarians, nonagenarians and centenarians: Analysis of the Healthy Ageing and Biomarkers Cohort Study (HABCS) in China"
cadmium,increased,urine,,100,Humans,BDOSMKKIYDKNTQ-UHFFFAOYSA-N,C01413,No result,23973,cadmium,-,,,No result,https://doi.org/10.1016/j.envint.2021.106717,"Human biomonitoring of toxic and essential metals in younger elderly, octogenarians, nonagenarians and centenarians: Analysis of the Healthy Ageing and Biomarkers Cohort Study (HABCS) in China"
cobalt,increased,blood,,100,Humans,GUTLYIVDDKVIGB-UHFFFAOYSA-N,No result,No result,104730,cobalt,-,,,No result,https://doi.org/10.1016/j.envint.2021.106717,"Human biomonitoring of toxic and essential metals in younger elderly, octogenarians, nonagenarians and centenarians: Analysis of the Healthy Ageing and Biomarkers Cohort Study (HABCS) in China"
molybdenum,increased,blood,,100,Humans,ZOKXTWBITQBERF-UHFFFAOYSA-N,C00150,No result,23932,molybdenum,-,,,No result,https://doi.org/10.1016/j.envint.2021.106717,"Human biomonitoring of toxic and essential metals in younger elderly, octogenarians, nonagenarians and centenarians: Analysis of the Healthy Ageing and Biomarkers Cohort Study (HABCS) in China"
manganese,increased,blood,,100,Humans,PWHULOQIROXLJO-UHFFFAOYSA-N,C00034,No result,23930,manganese,-,,,No result,https://doi.org/10.1016/j.envint.2021.106717,"Human biomonitoring of toxic and essential metals in younger elderly, octogenarians, nonagenarians and centenarians: Analysis of the Healthy Ageing and Biomarkers Cohort Study (HABCS) in China"
selenium,decreased,blood,,100,Humans,BUGBHKTXTAQXES-UHFFFAOYSA-N,C01529,No result,6326970,selenium,-,,,No result,https://doi.org/10.1016/j.envint.2021.106717,"Human biomonitoring of toxic and essential metals in younger elderly, octogenarians, nonagenarians and centenarians: Analysis of the Healthy Ageing and Biomarkers Cohort Study (HABCS) in China"
N-acetyl-aspartate,decreased,brain,,20-70,Humans,OZBZTOTYSCUKRI-UHFFFAOYSA-L,No result,No result,53630516,N-Acetylaspartic acid,C6H9NO5,175.0481,Amino acids,No result,https://doi.org/10.1016/j.neuroimage.2016.05.014,Physiological neuronal decline in healthy aging human brain — An in vivo study with MRI and short echo-time whole-brain 1H MR spectroscopic imaging
choline,increased,brain,,20-70,Humans,OEYIOHPDSNJKLS-UHFFFAOYSA-N,C00114,No result,305,Choline,C5H14NO,104.1075,Cholines,HMDB0000097,https://doi.org/10.1016/j.neuroimage.2016.05.014,Physiological neuronal decline in healthy aging human brain — An in vivo study with MRI and short echo-time whole-brain 1H MR spectroscopic imaging
total creatine,increased,brain,,20-70,Humans,CVSVTCORWBXHQV-UHFFFAOYSA-N,C00300,No result,586,-,,,,HMDB0000064,https://doi.org/10.1016/j.neuroimage.2016.05.014,Physiological neuronal decline in healthy aging human brain — An in vivo study with MRI and short echo-time whole-brain 1H MR spectroscopic imaging
myo-inositol,increased,brain,,20-70,Humans,CDAISMWEOUEBRE-UHFFFAOYSA-N,No result,No result,892,Myo-inositol,C6H12O6,180.0634,Inositols,No result,https://doi.org/10.1016/j.neuroimage.2016.05.014,Physiological neuronal decline in healthy aging human brain — An in vivo study with MRI and short echo-time whole-brain 1H MR spectroscopic imaging
Glx (glutamine + glutamate),decreased,brain,,20-70,Humans,ZDXPYRJPNDTMRX-VKHMYHEASA-N+WHUUTDBJXJRKMK-UHFFFAOYSA-N,C00064+C00302,No result+No result,5961+57397101,Glutamine,C5H10N2O3,146.0691,Amino acids,No result,https://doi.org/10.1016/j.neuroimage.2016.05.014,Physiological neuronal decline in healthy aging human brain — An in vivo study with MRI and short echo-time whole-brain 1H MR spectroscopic imaging
N-acetylaspartate,decreased,brain,,19-84,Humans,OTCCIMWXFLJLIA-BYPYZUCNSA-N,C01042,No result,65065,N-Acetylaspartic acid,C6H9NO5,175.0481,Amino acids,HMDB0000812,https://doi.org/10.1038/jcbfm.2009.197,Altered brain mitochondrial metabolism in healthy aging as assessed by in vivo magnetic resonance spectroscopy
glutamate,decreased,brain,,19-84,Humans,WHUUTDBJXJRKMK-VKHMYHEASA-N,C00025,No result,33032,Glutamic acid,C5H9NO4,147.0532,Amino acids,HMDB0000148,https://doi.org/10.1038/jcbfm.2009.197,Altered brain mitochondrial metabolism in healthy aging as assessed by in vivo magnetic resonance spectroscopy
lactate,increased,liver,,,Mice,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,C01432,No result,19789253,,,,,HMDB0144295,https://doi.org/10.1038/srep00134,The metabolic footprint of aging in mice
lactate,increased,muscle,,,Mice,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,C01432,No result,19789253,Lactic acid,C3H6O3,90.0317,Short-chain acids,HMDB0144295,https://doi.org/10.1038/srep00134,The metabolic footprint of aging in mice
glucose,increased,muscle,,,Mice,WQZGKKKJIJFFOK-GASJEMHNSA-N,C00031,No result,5793,Lactic acid,C3H6O3,90.0317,Short-chain acids,HMDB0000122,https://doi.org/10.1038/srep00134,The metabolic footprint of aging in mice
glucose-6-phosphate,increased,muscle,,,Mice,VFRROHXSMXFLSN-UHFFFAOYSA-N,No result,No result,99058,Glucose,C6H12O6,180.0634,Hexoses,No result,https://doi.org/10.1038/srep00134,The metabolic footprint of aging in mice
maltose,increased,muscle,,,Mice,GUBGYTABKSRVRQ-UHFFFAOYSA-N,No result,No result,294,Glucose 6-phosphate,C6H13O9P,260.0297,Monosaccharide phosphates,No result,https://doi.org/10.1038/srep00134,The metabolic footprint of aging in mice
maltotetraose,increased,liver,,,Mice,LUEWUZLMQUOBSB-UHFFFAOYSA-N,No result,No result,870,Maltose,C12H22O11,342.1162,Disaccharides,No result,https://doi.org/10.1038/srep00134,The metabolic footprint of aging in mice
maltose,increased,liver,,,Mice,GUBGYTABKSRVRQ-UHFFFAOYSA-N,No result,No result,294,Maltotetraose,C24H42O21,666.2219,Oligosaccharides,No result,https://doi.org/10.1038/srep00134,The metabolic footprint of aging in mice
triglycerides,decreased,plasma,,,Mice,MBMBGCFOFBJSGT-KUBAVDMBSA-N,C06429,LMFA01030185,445580,Maltose,C12H22O11,342.1162,Disaccharides,HMDB0002183,https://doi.org/10.1038/srep00134,The metabolic footprint of aging in mice
free fatty acids,increased,muscle,,,Mice,WWZKQHOCKIZLMA-UHFFFAOYSA-N,C06423,LMFA01010008,379,Caprylic acid,C8H16O2,144.115,Saturated FA,HMDB0000482,https://doi.org/10.1038/srep00134,The metabolic footprint of aging in mice
proline,decreased,plasma,,,Mice,ONIBWKKTOPOVIA-BYPYZUCNSA-N,C00148,No result,145742,Proline,C5H9NO2,115.0633,Amino acids,HMDB0000162,https://doi.org/10.1038/srep00134,The metabolic footprint of aging in mice
alanine,decreased,plasma,,,Mice,QNAYBMKLOCPYGJ-REOHCLBHSA-N,C00041,No result,5950,Proline,C5H9NO2,115.0633,Amino acids,HMDB0000161,https://doi.org/10.1038/srep00134,The metabolic footprint of aging in mice
serine,decreased,plasma,,,Mice,MTCFGRXMJLQNBG-REOHCLBHSA-N,C00065,No result,5951,Alanine,C3H7NO2,89.0477,Amino acids,HMDB0000187,https://doi.org/10.1038/srep00134,The metabolic footprint of aging in mice
tyrosine,decreased,plasma,,,Mice,OUYCCCASQSFEME-QMMMGPOBSA-N,C00082,No result,6057,Serine,C3H7NO3,105.0426,Amino acids,HMDB0000158,https://doi.org/10.1038/srep00134,The metabolic footprint of aging in mice
methionine,decreased,plasma,,,Mice,FFEARJCKVFRZRR-UHFFFAOYSA-N,C01733,No result,5255805,Tyrosine,C9H11NO3,181.0739,Amino acids,HMDB0033951,https://doi.org/10.1038/srep00134,The metabolic footprint of aging in mice
β-hydroxybutyrate,decreased,plasma,,,Mice,WHBMMWSBFZVSSR-UHFFFAOYSA-M,No result,No result,3541112,Methionine,C5H11NO2S,149.0511,Amino acids,No result,https://doi.org/10.1038/srep00134,The metabolic footprint of aging in mice
erythrocyte linoleic acid,decreased,plasma,,,Mice,OYHQOLUKZRVURQ-HZJYTTRNSA-N,C01595,LMFA01030120,5280450,3-Hydroxybutyric acid,C4H8O3,104.0473,Hydroxy FA,HMDB0000673,https://doi.org/10.1038/srep00134,The metabolic footprint of aging in mice
C16-acylcarnitine,decreased,plasma,,,Mice,MJLXQSQYKZWZCB-AKNKGCNLSA-N,No result,No result,No result,-,,,,No result,https://doi.org/10.1038/srep00134,The metabolic footprint of aging in mice
N-Acetyl-aspartate,decreased,spinal cord,,23-65,Humans,OZBZTOTYSCUKRI-UHFFFAOYSA-L,No result,No result,53630516,N-Acetylaspartic acid,C6H9NO5,175.0481,Amino acids,No result,https://doi.org/10.1371/journal.pone.0105774,Age Related Changes in Metabolite Concentrations in the Normal Spinal Cord
Glutamate-Glutamine,decreased,spinal cord,,23-65,Humans,MGHKSHCBDXNTHX-WDSKDSINSA-N,No result,No result,10171586,Glu-Gln,C10H17N3O6,275.1117,Dipeptides,HMDB0028817,https://doi.org/10.1371/journal.pone.0105774,Age Related Changes in Metabolite Concentrations in the Normal Spinal Cord
N-acetyl aspartate/choline,decreased,brain,,36-85,Humans,OZBZTOTYSCUKRI-UHFFFAOYSA-L/OEYIOHPDSNJKLS-UHFFFAOYSA-N,No result/C00114,No result/No result,53630516/305,-,,,,No result/HMDB0000097,https://doi.org/10.1016/S0197-4580(99)00022-6,Age-related metabolite changes and volume loss in the hippocampus by magnetic resonance spectroscopy and imaging
N-acetyl aspartate/creatine,decreased,brain,,36-85,Humans,OZBZTOTYSCUKRI-UHFFFAOYSA-L/CVSVTCORWBXHQV-UHFFFAOYSA-N,No result/C00300,No result/No result,53630516/586,-,,,,No result/HMDB0000064,https://doi.org/10.1016/S0197-4580(99)00022-6,Age-related metabolite changes and volume loss in the hippocampus by magnetic resonance spectroscopy and imaging
N-acetyl aspartate,decreased,brain,,36-85,Humans,OZBZTOTYSCUKRI-UHFFFAOYSA-L,No result,No result,53630516,N-Acetylaspartic acid,C6H9NO5,175.0481,Amino acids,No result,https://doi.org/10.1016/S0197-4580(99)00022-6,Age-related metabolite changes and volume loss in the hippocampus by magnetic resonance spectroscopy and imaging
α-ketoglutarate,increased,whole organism,,,C. elegans,KPGXRSRHYNQIFN-UHFFFAOYSA-N,C00026,No result,51,Oxoglutaric acid,C5H6O5,146.0215,TCA acids,HMDB0000208,https://doi.org/10.1038/nature13264,The metabolite alpha-ketoglutarate extends lifespan by inhibiting the ATP synthase and TOR
"3-(3,4-dihydroxyphenyl)propionic acid",increased,whole organism,,,C. elegans,DZAUWHJDUNRCTF-UHFFFAOYSA-N,C10447,No result,348154,"3,4-Dihydroxyhydrocinnamic acid",C9H10O4,182.0579,Phenylpropanoic acids,HMDB0000423,https://doi.org/10.1002/jsfa.12063,DAF-16 is involved in colonic metabolites of ferulic acid-promoted longevity and stress resistance of Caenorhabditis elegans
3-(3-hydroxyphenyl)propionic acid,increased,whole organism,,,C. elegans,QVWAEZJXDYOKEH-UHFFFAOYSA-N,C11457,No result,91,3-(3-Hydroxyphenyl)propanoic acid,C9H10O3,166.063,Phenylpropanoic acids,HMDB0000375,https://doi.org/10.1002/jsfa.12063,DAF-16 is involved in colonic metabolites of ferulic acid-promoted longevity and stress resistance of Caenorhabditis elegans
3-phenylpropionic acid,increased,whole organism,,,C. elegans,XMIIGOLPHOKFCH-UHFFFAOYSA-N,C05629,No result,107,Hydrocinnamic acid,C9H10O2,150.0681,Phenylpropanoic acids,HMDB0000764,https://doi.org/10.1002/jsfa.12063,DAF-16 is involved in colonic metabolites of ferulic acid-promoted longevity and stress resistance of Caenorhabditis elegans
PC(O-36:2),increased,plasma,female,53-66,Humans,LMGTVCKIUNTOEP-HJTCUGKVSA-N,No result,LMGP01020203,6443070,PC O-36:2,C44H86NO7P,771.6142,O-PC,HMDB0013418,https://doi.org/10.1111/acel.12064,Lipidomics of familial longevity
PC(O-36:3),increased,plasma,female,53-66,Humans,KBRIWDRDGVERBB-VXKJXORPSA-N,No result,LMGP01030111,53481721,PC O-36:3,C44H84NO7P,769.5985,O-PC,HMDB0013425,https://doi.org/10.1111/acel.12064,Lipidomics of familial longevity
PC(O-34:1),increased,plasma,female,53-66,Humans,SVSLBZPEDBYFGG-HVLKLTLRSA-N,No result,LMGP01030105,53481707,PC O-34:1,C42H84NO7P,745.5985,O-PC,HMDB0013412,https://doi.org/10.1111/acel.12064,Lipidomics of familial longevity
PE(38:6),decreased,plasma,female,53-66,Humans,LFGBKOUQHCWBQI-BZGLIJSBSA-N,No result,LMGP02011192,52924893,PE 38:6,C43H74NO8P,763.5152,PE,HMDB0009102,https://doi.org/10.1111/acel.12064,Lipidomics of familial longevity
SM(d18:1/23:0),increased,plasma,female,53-66,Humans,SXZWBNWTCVLZJN-NMIJJABPSA-N,No result,LMSP03010078,46891684,SM 18:1;O2/23:0,C46H93N2O6P,800.6771,SM,No result,https://doi.org/10.1111/acel.12064,Lipidomics of familial longevity
SM(d18:1/23:1),increased,plasma,female,53-66,Humans,DLLVJVIEEHURGY-XMWOIIMXSA-N,No result,No result,No result,SM 18:1;O2/23:1,C46H91N2O6P,798.6615,SM,No result,https://doi.org/10.1111/acel.12064,Lipidomics of familial longevity
SM(d18:1/21:0),increased,plasma,female,53-66,Humans,YXSZOBWVQJIWNE-QVDCKBILSA-N,No result,LMSP03010067,52931193,SM 18:1;O2/21:0,C44H89N2O6P,772.6458,SM,No result,https://doi.org/10.1111/acel.12064,Lipidomics of familial longevity
SM(d18:1/18:2),increased,plasma,female,53-66,Humans,KNHNQPUBJMCSCK-YRMOFVLASA-N,No result,No result,No result,SM 18:1;O2/18:2,C41H79N2O6P,726.5676,SM,No result,https://doi.org/10.1111/acel.12064,Lipidomics of familial longevity
SM(d18:1/17:0),increased,plasma,female,53-66,Humans,YMQZQHIESOAPQH-JXGHDCMNSA-N,No result,LMSP03010044,46891763,SM 18:1;O2/17:0,C40H81N2O6P,716.5832,SM,No result,https://doi.org/10.1111/acel.12064,Lipidomics of familial longevity
SM(d18:1/16:0),increased,plasma,female,53-66,Humans,RWKUXQNLWDTSLO-GWQJGLRPSA-N,No result,LMSP03010003,9939941,SM 18:1;O2/16:0,C39H79N2O6P,702.5676,SM,HMDB0061712,https://doi.org/10.1111/acel.12064,Lipidomics of familial longevity
SM(d18:1/15:0),increased,plasma,female,53-66,Humans,LQINJRUGTUOHGS-YPDYIYJKSA-N,No result,LMSP03010038,52931139,SM 18:1;O2/15:0,C38H77N2O6P,688.5519,SM,No result,https://doi.org/10.1111/acel.12064,Lipidomics of familial longevity
SM(d18:1/14:0),increased,plasma,female,53-66,Humans,KYICBZWZQPCUMO-PSALXKTOSA-N,No result,LMSP03010028,11433862,SM 18:1;O2/14:0,C37H75N2O6P,674.5363,SM,HMDB0012097,https://doi.org/10.1111/acel.12064,Lipidomics of familial longevity
TG(57:2),decreased,plasma,female,53-66,Humans,UAHXDSGAJUWANV-SEUCEGGKSA-N,No result,No result,No result,TG 57:2,C60H112O6,928.8459,TAG,HMDB0043121,https://doi.org/10.1111/acel.12064,Lipidomics of familial longevity
TG(56:6),decreased,plasma,female,53-66,Humans,NMILQURASINGCA-FCZSHJTRSA-N,No result,LMGL03015600,56939382,TG 56:6,C59H102O6,906.7676,TAG,No result,https://doi.org/10.1111/acel.12064,Lipidomics of familial longevity
TG(56:7),decreased,plasma,female,53-66,Humans,YXCYWRAJSHPITE-FJTAOIQASA-N,No result,LMGL03014910,56938699,TG 56:7,C59H100O6,904.752,TAG,No result,https://doi.org/10.1111/acel.12064,Lipidomics of familial longevity
TG(54:6),decreased,plasma,female,53-66,Humans,HBOQXIRUPVQLKX-BBWANDEASA-N,No result,LMGL03010371,5322095,TG 54:6,C57H98O6,878.7363,TAG,HMDB0005474,https://doi.org/10.1111/acel.12064,Lipidomics of familial longevity
TG(54:7),decreased,plasma,female,53-66,Humans,VUNSQJRBLNQFPQ-UJRCCFCSSA-N,No result,No result,No result,TG 54:7,C57H96O6,876.7207,TAG,No result,https://doi.org/10.1111/acel.12064,Lipidomics of familial longevity
TG(52:1),decreased,plasma,female,53-66,Humans,JVLMQIOBAJFKGA-IGHGRRDISA-N,No result,LMGL03010071,9544038,TG 52:1,C55H104O6,860.7833,TAG,No result,https://doi.org/10.1111/acel.12064,Lipidomics of familial longevity
Phenethylamine,increased,whole organism,,,C. elegans,BHHGXPLMPWCGHP-UHFFFAOYSA-N,C05332,No result,1001,Phenylethylamine,C8H11N,121.0891,,HMDB0012275,https://doi.org/10.3390/ijms21062212,Metabolites Produced by the Oral Commensal Bacterium Corynebacterium durum Extend the Lifespan of Caenorhabditis elegans via SIR-2.1 Overexpression
N-acetylphenethylamine,increased,whole organism,,,C. elegans,MODKMHXGCGKTLE-UHFFFAOYSA-N,C06746,No result,70143,-,,,,No result,https://doi.org/10.3390/ijms21062212,Metabolites Produced by the Oral Commensal Bacterium Corynebacterium durum Extend the Lifespan of Caenorhabditis elegans via SIR-2.1 Overexpression
triglyceride,decreased,serum,female,91-95,Humans,MBMBGCFOFBJSGT-KUBAVDMBSA-N,C06429,LMFA01030185,445580,DHA,C22H32O2,328.2402,Unsaturated FA,HMDB0002183,https://doi.org/10.1007/s11357-010-9172-6,Lipid metabolism in long-lived families: the Leiden Longevity Study
dopamine,decreased,brain,,,Rats,VYFYYTLLBUKUHU-UHFFFAOYSA-N,C03758,No result,681,Dopamine,C8H11NO2,153.079,Catecholamines,HMDB0000073,https://doi.org/10.1016/0197-4580(82)90057-4,Changes in monamines and their metabolite levels in some brain regions of aged rats
Homovanillic acid,decreased,brain,,,Rats,QRMZSPFSDQBLIX-UHFFFAOYSA-N,C05582,No result,1738,Homovanillic acid,C9H10O4,182.0579,Phenylacetic acids,HMDB0000118,https://doi.org/10.1016/0197-4580(82)90057-4,Changes in monamines and their metabolite levels in some brain regions of aged rats
"3,4-Dihydroxyphenylacetic acid",decreased,brain,,,Rats,CFFZDZCDUFSOFZ-UHFFFAOYSA-N,C01161,No result,547,"3,4-Dihydroxybenzeneacetic acid",C8H8O4,168.0423,Phenylacetic acids,HMDB0001336,https://doi.org/10.1016/0197-4580(82)90057-4,Changes in monamines and their metabolite levels in some brain regions of aged rats
